ip,sources,collected_at
130.12.180.0,spamhaus_drop,2025-12-18T19:07:31.670675Z
200.1.0.0,spamhaus_drop,2025-12-18T19:07:31.670675Z
200.1.4.0,spamhaus_drop,2025-12-18T19:07:31.670675Z
45.194.92.0,spamhaus_drop,2025-12-18T19:07:31.670675Z
77.83.39.0,spamhaus_drop,2025-12-18T19:07:31.670675Z
92.255.57.0,spamhaus_drop,2025-12-18T19:07:31.670675Z
